id,Track Name,Artist,Genre,MFCC Features
790,"Up, Two?",Glove Compartment,Rock,"[-4.0186353  -3.3767557  -3.0200849  ...  0.3615927   0.10174517
 -0.03449956]"
727,Track 02,Gang Wizard,Experimental,"[-4.2237973  -3.870436   -3.4777536  ...  0.25502548  0.21643823
  0.16796237]"
428,1933,Brian Joseph Davis,Experimental,"[-3.8153117  -2.8107424  -2.4967542  ... -0.15304145 -0.1310491
 -0.04639594]"
1247,Rejerks 02,Nautical Almanac,Experimental,"[-4.2415323  -3.9592671  -3.7802787  ... -0.08625818 -0.10695369
 -0.0605798 ]"
368,Vampires,Blah Blah Blah,Rock,"[-4.1097016  -3.8355696  -3.7669902  ... -0.0225676  -0.02867584
 -0.01901006]"
408,The Tides Of Land,Borful Tang,Electronic,"[-4.091101   -3.4928653  -3.1295269  ... -0.02084775  0.02457879
 -0.00883565]"
154,Squares And Circles,Arc and Sender,Rock,"[-4.1493545  -3.904041   -3.8096914  ...  0.00514923 -0.01983975
  0.05739095]"
940,Perfect Ways,Jad Fair,Spoken,"[-4.257061   -4.132487   -4.0872602  ...  0.36597744  0.41849133
  0.4564903 ]"
204,My Dream,Ed Askew,Folk,"[-3.830103   -2.9497313  -2.6389909  ...  0.21547118  0.1584347
 -0.06844232]"
1269,Rejerks 09,Nautical Almanac,Experimental,"[-3.8626568  -2.6585252  -1.8983889  ...  0.0253425  -0.1644922
  0.06700647]"
319,Complete Shakespeare,Blah Blah Blah,Rock,"[-4.105931   -3.8780994  -3.815214   ...  0.19991691  0.20119272
  0.19775125]"
961,What We've Got,Jad Fair,Spoken,"[-4.106912   -3.4536219  -2.5935404  ... -0.1025603  -0.14507018
 -0.0613998 ]"
136,Peel Back The Mountain Sky,Abominog,Rock,"[-3.6345494  -1.6412325  -0.37033096 ... -0.09531368 -0.14863117
  0.07361743]"
254,Masters Of Enjoyment,Bird Names,,"[-3.7830238  -2.5324748  -1.81202    ... -0.47456446 -0.27885488
 -0.34380332]"
797,Joe Pico,Glove Compartment,Rock,"[-4.162223   -3.9492667  -3.890668   ...  0.07616313 -0.01240426
 -0.1077602 ]"
863,Bariwax,I Am the Liquor,Rock,"[-4.070445   -1.144199    0.68888724 ...  0.07163387 -0.05480297
 -0.5185233 ]"
294,Magic Bullet,Black Pus,Experimental,"[-3.5340495   1.6387206   3.024266   ... -0.35756695 -0.5424401
 -0.6312626 ]"
1150,Model Citizen,Monoshock,Rock,"[-3.5120041  -0.40202212  0.96551126 ... -0.35487512 -0.32617748
 -0.2287177 ]"
765,Love Love Love,Glass Candy,Soul-RnB,"[-3.90838    -2.4962306  -0.7061487  ...  0.34663084  0.3177026
  0.37724617]"
613,A Dorsal Account (the roof didn't stand a chance),Argumentix + Dragging an Ox Through Water,,"[-4.1675534  -3.9920466  -3.964169   ... -0.2637658  -0.16127373
 -0.04113661]"
888,Time Remaining,Illusion of Safety,Electronic,"[-4.1134267  -3.9172883  -3.8847845  ... -0.02828474 -0.04070137
 -0.07386482]"
238,France Attacks,Barnacled,Jazz,"[-4.183079   -3.909316   -3.9272964  ...  0.16792098  0.09068723
  0.11134688]"
1028,Masters Of Science Fiction,Lazy Magnet,Rock,"[-3.7001154   0.1472071   2.0469568  ... -0.29860824 -0.4432432
 -0.5080638 ]"
510,Sac City,Celesteville,Rock,"[-4.140913   -3.686273   -3.55186    ...  1.004625    1.1257968
  0.86447155]"
1045,Baltimore Raven,Little Howlin' Wolf,Blues,"[-3.860987   -3.169373   -2.8141174  ... -0.1393212  -0.14254051
 -0.2154625 ]"
446,Media Library,Bronhard/Going/Public,,"[-4.098107   -3.2611587  -2.0578508  ... -0.29882634 -0.07583941
  0.16395861]"
889,Wasteland,Illusion of Safety,Electronic,"[-4.202567   -4.053967   -3.9800534  ...  0.07994756  0.10406476
  0.10856896]"
828,Scrilla,Here Comes A Big Black Cloud!!,Rock,"[-3.702536   -1.1602215   0.8477534  ...  0.41616595  0.41847223
  0.31221533]"
608,Punk Rock vs. Swiss Modernism,Double Dagger,Rock,"[-4.3588986  -4.0921297  -3.0596244  ... -0.6118663  -0.42620647
 -0.13164695]"
155,Maps of the Stars Homes,Arc and Sender,Rock,"[-3.895675   -2.4171607  -0.4182481  ... -0.33826688 -0.38586557
 -0.3781173 ]"
601,Ingrate,Dora Bleu,Folk,"[-4.218374   -4.0094676  -3.9568777  ...  0.03034567  0.00757908
  0.09668341]"
